headline,date,doc_type,material_type,section,keywords
Essentials for a New La Guardia,2015-08-01,article,Letter,,[]
Research Scientists to Use Network Much Faster Than Internet,2015-08-01,article,News,,"['Computers and the Internet', 'Fiber Optics', 'Research', 'Colleges and Universities', 'Grants (Corporate and Foundation)']"
Illegal Activity at Sea,2015-08-01,article,Letter,,"['Oceans and Seas', 'Seafood', 'Law and Legislation', 'Environment', 'Fishing, Commercial', 'Labor and Jobs']"
Advertising vs. Reporting,2015-08-01,article,Letter,,"['ADVERTISING AND MARKETING', 'News and News Media', 'Podcasts']"
Specialty Pharmacies,2015-08-01,article,Letter,,"['Drugs (Pharmaceuticals)', 'Drugstores']"
Are Artificial Sweeteners Safer Than Sugar?,2015-08-01,article,Letter,,"['Artificial Sweeteners', 'Soft Drinks', 'Diabetes', 'Medicine and Health']"
Inmate’s Suit Over Abortion Denial Ends With Her Decision to Have Child,2015-08-01,article,News,,"['ABORTION', 'Prisons and Prisoners']"
Lawmakers on Azerbaijan Trip Cleared,2015-08-01,article,Brief,,"['Ethics and Official Misconduct', 'United States Politics and Government']"
"Jerome Kohlberg Jr., Pioneer of the Private Equity Industry, Dies at 90",2015-08-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Private Equity', 'Banking and Financial Institutions']"
Food Program Gets Emergency Cash,2015-08-01,article,Brief,,"['Humanitarian Aid', 'Refugees and Displaced Persons', 'Food Aid']"
Maine Court Considers Vetoes by Gov. LePage,2015-08-01,article,News,,"['Supreme Courts (State)', 'Vetoes (US)']"
"For Prisoners, a Path to Society",2015-08-01,article,Editorial,,"['Editorials', 'Financial Aid (Education)', 'Pell Grants', 'Colleges and Universities', 'Education', 'United States Politics and Government', 'Prisons and Prisoners']"
New York City to Reroute Garbage Truck Ramp Planned on East Side,2015-08-01,article,News,,['Waste Materials and Disposal']
"Lynn Anderson, Singer of ‘Rose Garden,’ Dies at 67",2015-08-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Music', 'Country Music']"
Republicans Audition for Big Money,2015-08-01,article,Editorial,,"['Editorials', 'Campaign Finance', 'Presidential Election of 2016']"
Third Person Dies of Legionnaires’ Disease in the Bronx,2015-08-01,article,News,,"[""Legionnaires' Disease"", 'Deaths (Fatalities)']"
